,Label,Model,Year,HP,Min cost,Max cost
0,Cadillac,ATS,2019,272,30.257,60.927
1,Aston Martin,DB9,2011,470,46.812,73.117
2,Dodge,Avenger,2014,173,9.988,12.407
3,FIAT,124 Spider,2020,160,25.39,29.39
4,Chrysler,200,2017,184,15.737,21.172
5,Chevrolet,Avalanche,2013,320,19.629,25.997
6,Alfa Romeo,4C,2020,237,67.15,67.15
7,BMW,1-Series,2013,230,13.757,21.679
8,Buick,Cascada,2019,200,27.443,31.862
9,Cadillac,ATS,2018,272,27.385,55.437
10,Acura,ILX,2021,201,26.1,32
11,Aston Martin,DB9,2010,470,37.725,88.968
12,Dodge,Avenger,2013,173,8.608,10.231
13,Alfa Romeo,4C,2019,237,62.833,62.833
14,FIAT,124 Spider,2019,160,23.229,27.988
15,Chevrolet,Avalanche,2012,320,15.993,20.21
16,Chrysler,200,2016,184,14.572,23.737
17,Buick,Cascada,2018,200,23.417,28.186
18,BMW,1-Series,2012,230,11.133,15.973
19,Cadillac,ATS,2017,202,23.622,46.226
20,Acura,ILX,2020,201,26.468,31.002
21,Aston Martin,DB9,2009,470,29.449,69.511
22,Dodge,Avenger,2012,173,7.436,9.705
23,Chevrolet,Avalanche,2011,320,14.812,19.118
24,Alfa Romeo,4C,2018,237,50.997,61.452
25,Audi,A3,2020,184,33.3,56.2
26,FIAT,124 Spider,2018,160,23.072,26.257
27,Buick,Cascada,2017,200,22.95,25.896
28,Chrysler,200,2015,184,13.518,17.014
29,Honda,Accord,2021,192,24.97,36.9
30,BMW,1-Series,2011,230,10.257,14.55
31,Cadillac,ATS,2016,202,19.987,40.464
32,Ford,Bronco,2021,275,28.5,61.11
33,Acura,ILX,2019,201,25.287,29.725
34,Aston Martin,DB9,2008,470,29.109,52.93
35,Chevrolet,Avalanche,2010,320,12.486,15.859
36,GMC,Acadia,2021,193,35.351,52.897
37,Dodge,Avenger,2011,173,6.006,6.926
38,Alfa Romeo,4C,2017,237,46.188,46.188
39,Audi,A3,2019,184,23.93,59.481
40,Honda,Accord,2020,192,27.123,35.653
41,Genesis,G70,2021,252,39.974,50.679
42,Buick,Cascada,2016,200,22.007,23.873
43,FIAT,124 Spider,2017,160,22.184,25.118
44,BMW,1-Series,2010,230,8.536,12.512
45,Chrysler,200,2014,173,9.612,14.822
46,Chevrolet,Avalanche,2009,310,11.288,14.081
47,Cadillac,ATS,2015,202,15.461,24.283
48,Acura,ILX,2018,201,22.414,27.056
49,GMC,Acadia,2020,193,31.483,46.678
50,Alfa Romeo,4C,2016,237,43.46,48.09
51,Dodge,Avenger,2010,173,5.577,5.757
52,BMW,1-Series,2009,230,7.136,10.055
53,Chevrolet,Avalanche,2008,310,10.955,13.38
54,Chrysler,200,2013,173,8.121,12.507
55,Audi,A3,2018,186,26.075,54.046
56,Honda,Accord,2019,192,25.136,33.164
57,Genesis,G70,2020,252,38.945,46.963
58,Cadillac,ATS,2014,202,15.466,19.473
59,FIAT,500,2019,111,16.243,23.33
60,Alfa Romeo,4C,2015,237,38.826,48.965
61,Acura,ILX,2017,201,20.323,23.931
62,Aston Martin,Vantage,2010,420,35.298,55.435
63,Dodge,Avenger,2009,173,5.193,6.442
64,BMW,1-Series,2008,230,6.698,10.037
65,Chrysler,200,2012,173,6.811,9.69
66,GMC,Acadia,2019,193,27.746,41.694
67,Chevrolet,Avalanche,2007,310,8.161,9.783
68,FIAT,500,2018,135,14.941,19.967
69,Audi,A3,2017,186,23.249,35.099
70,Genesis,G70,2019,252,33.648,43.471
71,Honda,Accord,2018,192,23.617,30.811
72,Aston Martin,Vantage,2009,420,28.277,44.964
73,Cadillac,ATS,2013,202,12.387,15.404
74,Ford,Bronco Sport,2021,181,27.215,38.16
75,Dodge,Avenger,2008,172,3.821,6.187
76,FIAT,500,2017,101,12.782,18.77
77,Chrysler,200,2011,173,5.842,7.94
78,Chevrolet,Aveo,2011,108,4.431,5.496
79,Acura,ILX,2016,201,18.417,21.868
80,GMC,Acadia,2018,193,24.954,39.19
81,Audi,A3,2016,150,18.86,29.602
82,Dodge,Caliber,2012,158,6.187,9.021
83,Ford,C-Max Energi,2017,188,16.837,18.851
84,Honda,Accord,2017,185,20.379,26.36
85,Volvo,C30,2013,227,11.945,16.953
86,Buick,Enclave,2021,310,40.3,56.3
87,Chevrolet,Aveo,2010,108,3.788,4.973
88,FIAT,500,2016,101,11.012,15.839
89,GMC,Acadia,2017,193,23.219,35.842
90,Acura,ILX,2015,150,17.153,19.103
91,Volvo,C30,2012,227,10.712,14.574
92,Ford,C-Max Energi,2016,188,16.855,16.855
93,Dodge,Caliber,2011,158,5.582,6.905
94,Alfa Romeo,Giulia,2021,280,40.35,75.25
95,FIAT,500,2015,101,10.042,15.728
96,Chevrolet,Aveo,2009,106,3.717,4.687
97,Honda,Accord,2016,185,18.007,24.304
98,Buick,Enclave,2020,310,38.162,51.867
99,Audi,A3,2015,150,16.844,27.469
100,GMC,Acadia,2016,281,20.377,29.858
101,Acura,ILX,2014,150,15.605,16.263
102,Volvo,C30,2013,227,11.945,16.953
103,Genesis,G80,2021,300,47.7,62.25
