Дата,Цена,Откр.,Макс.,Мин.,Изм. %
14.04.2019,11993,11906,11993,11906,2.09%
21.04.2019,11884,11905,11939,11883,-0.91%
28.04.2019,12006,11913,12032,11913,1.03%
05.05.2019,11636,11889,11889,11636,-3.08%
12.05.2019,11271,11587,11587,11271,-3.14%
19.05.2019,11332,11184,11343,11184,0.54%
26.05.2019,11405,11417,11512,11402,0.65%
02.06.2019,11743,11503,11743,11503,2.96%
09.06.2019,11944,11864,11944,11864,1.71%
16.06.2019,12127,11958,12134,11958,1.53%
23.06.2019,12201,12093,12201,12093,0.61%
30.06.2019,12439,12252,12443,12252,1.95%
07.07.2019,12580,12439,12580,12427,1.14%
14.07.2019,12694,12558,12694,12537,0.90%
21.07.2019,12619,12666,12673,12616,-0.59%
28.07.2019,12274,12498,12558,12274,-2.74%
04.08.2019,11974,12146,12151,11974,-2.44%
11.08.2019,11763,11742,11763,11507,-1.76%
18.08.2019,11899,11806,11899,11704,1.16%
25.08.2019,12049,11768,12049,11768,1.26%
01.09.2019,12061,12103,12107,12051,0.10%
08.09.2019,12074,12069,12088,12045,0.11%
15.09.2019,11780,12021,12044,11780,-2.44%
22.09.2019,11974,11696,12694,11507,1.65%
29.09.2019,11587,11826,11826,11587,-3.24%
06.10.2019,11737,11625,11737,11625,1.30%
13.10.2019,11702,11673,11731,11673,-0.30%
20.10.2019,11375,11634,11713,11375,-2.79%
27.10.2019,11323,11328,11373,11323,-0.45%
03.11.2019,11733,11450,20942,2989,3.61%
10.11.2019,11405,9754,22769,3020,-2.79%
17.11.2019,11175,9592,21521,2842,-2.02%
24.11.2019,11236,9348,19791,2733,0.55%
01.12.2019,11078,9201,19585,2681,-1.41%
08.12.2019,11169,11026,11169,10996,0.82%
15.12.2019,10921,11031,11031,10905,-2.22%
22.12.2019,10951,10875,10951,10856,0.27%
29.12.2019,11031,10942,11056,10942,0.73%
05.01.2020,10576,10671,10751,10465,-4.13%
12.01.2020,10743,10582,10743,10556,1.57%
19.01.2020,10268,10586,10586,10268,-4.42%
26.01.2020,9854,9965,9965,9854,-4.04%
02.02.2020,10029,9672,10029,9672,1.78%
09.02.2020,10036,9880,10036,9880,0.07%
16.02.2020,9856,9983,9983,9834,-1.80%
23.02.2020,8684,9322,9322,8684,-11.89%
01.03.2020,9032,8575,9138,8575,4.01%
08.03.2020,7378,8539,8687,7378,-18.32%
15.03.2020,7077,6899,7077,6658,-4.07%
22.03.2020,6555,6385,6555,6279,-7.38%
29.03.2020,6953,6536,6953,6536,6.07%
05.04.2020,7675,7446,7675,7446,10.38%
12.04.2020,7874,7809,8106,7636,2.60%
19.04.2020,8190,8039,8245,7995,4.02%
26.04.2020,8390,8208,8390,8208,2.44%
03.05.2020,8269,8299,8299,8149,-1.45%
10.05.2020,8466,8351,8501,8351,2.39%
17.05.2020,8797,8450,8816,8450,3.91%
24.05.2020,9090,8973,9225,8973,3.33%
31.05.2020,9631,9220,9631,9220,5.95%
07.06.2020,9467,9648,9648,9393,-1.70%
14.06.2020,9547,9218,9552,9218,0.85%
21.06.2020,9181,9355,9423,9166,-3.84%
28.06.2020,9632,9227,9642,9227,4.91%
05.07.2020,9727,9647,9727,9614,0.99%
12.07.2020,9874,9724,9874,9680,1.51%
19.07.2020,9796,9943,10067,9796,-0.79%
26.07.2020,9979,9871,9979,9777,1.87%
02.08.2020,10004,10016,10124,10004,0.25%
09.08.2020,9705,9999,9999,9705,-2.99%
16.08.2020,9635,9600,9635,9494,-0.72%
23.08.2020,9744,9744,9744,9744,1.14%
30.08.2020,9889,9805,9889,9730,1.48%
06.09.2020,9475,9678,9684,9475,-4.19%
13.09.2020,9481,9496,9522,9481,0.07%
20.09.2020,9338,9397,9397,9338,-1.51%
27.09.2020,9316,9384,9385,9274,-0.24%
04.10.2020,9271,9405,9406,9271,-0.47%
11.10.2020,9050,9297,9297,9050,-2.38%
18.10.2020,9101,8858,9101,8858,0.56%
25.10.2020,9057,9093,9139,9027,-0.49%
01.11.2020,9105,9143,9209,9105,0.53%
08.11.2020,9267,9138,9267,9080,1.78%
15.11.2020,9597,9370,9597,9370,3.56%
22.11.2020,9721,9700,9721,9538,1.29%
29.11.2020,10136,9674,10136,9674,4.27%
06.12.2020,10112,10193,10193,10112,-0.24%
13.12.2020,10369,10134,10369,10134,2.54%
20.12.2020,10233,9838,10233,9838,-1.31%
27.12.2020,10083,10008,10113,10008,-1.46%
03.01.2021,10364,10150,10364,10150,2.79%
10.01.2021,10467,10407,10558,10407,0.99%
17.01.2021,10469,10531,10737,10469,0.02%
24.01.2021,10255,10507,10559,10255,-2.05%
31.01.2021,10701,10342,10701,10342,4.36%
07.02.2021,10869,10802,10883,10802,1.57%
14.02.2021,10986,10938,11053,10938,1.07%
21.02.2021,11133,10735,11133,10735,1.34%
28.02.2021,11550,11021,11550,11021,3.74%
07.03.2021,11716,11481,11737,11481,1.43%
14.03.2021,11848,11698,11848,11698,1.13%
21.03.2021,11950,11915,12013,11915,0.86%
28.03.2021,12030,11968,12030,11892,0.67%
04.04.2021,11752,11950,11950,11686,-2.32%
11.04.2021,11695,11526,11695,11526,-0.48%
18.04.2021,11605,11920,11920,11605,-0.77%
25.04.2021,11778,11662,11791,11662,1.49%
02.05.2021,11837,11504,11837,11504,0.50%
09.05.2021,11089,11774,11774,11089,-6.33%
16.05.2021,11279,11090,11350,11090,1.72%
23.05.2021,11594,11392,11603,11392,2.80%
30.05.2021,11898,11678,11898,11678,2.62%
06.06.2021,12081,11935,12097,11927,1.54%
13.06.2021,11940,12023,12023,11918,-1.17%
20.06.2021,11771,11887,11887,11771,-1.42%
27.06.2021,11905,11831,11985,11817,1.14%
04.07.2021,11740,11917,11985,11645,-1.38%
11.07.2021,11918,11726,11974,11726,1.52%
18.07.2021,12024,11896,12024,11770,0.88%
25.07.2021,11823,11965,11992,11823,-1.67%
01.08.2021,11889,11729,12021,11729,0.56%
08.08.2021,11943,11952,12052,11891,0.45%
15.08.2021,12092,11810,12092,11810,1.25%
22.08.2021,12204,12132,12269,12132,0.93%
29.08.2021,12245,12306,12306,12177,0.34%
05.09.2021,12121,12220,12220,12017,-1.01%
12.09.2021,12241,12219,12285,12219,0.98%
19.09.2021,12007,12063,12086,12007,-1.91%
26.09.2021,11643,11626,11720,11611,-3.03%
03.10.2021,11824,11677,11832,11677,1.55%
10.10.2021,11729,11749,11749,11729,-0.80%
17.10.2021,11830,11768,11830,11738,0.86%
24.10.2021,11875,11772,11875,11772,0.38%
31.10.2021,11876,11793,11876,11582,0.01%
07.11.2021,12170,11902,12204,11902,2.48%
14.11.2021,12213,12190,12277,12190,0.35%
21.11.2021,12160,12217,12368,12160,-0.43%
28.11.2021,11925,12006,12006,11848,-1.94%
05.12.2021,12128,12082,12128,12082,1.70%
12.12.2021,12076,12115,12130,12007,-0.43%
19.12.2021,12179,11932,12179,11932,0.85%
26.12.2021,12298,12160,12298,12160,0.98%
02.01.2022,12297,12497,12497,12297,-0.01%
09.01.2022,12297,12305,12328,12246,0.00%
16.01.2022,12106,12305,12305,12106,-1.55%
23.01.2022,11687,11934,11934,11565,-3.46%
30.01.2022,11743,11782,11876,11743,0.48%
06.02.2022,11571,11715,11745,11571,-1.46%
13.02.2022,11804,11482,11804,11482,2.01%
20.02.2022,11544,11592,11760,11421,-2.20%
27.02.2022,11430,11493,11538,11430,-0.99%
06.03.2022,11375,11082,11375,11040,-0.48%
13.03.2022,11444,11372,11488,11250,0.60%
20.03.2022,11292,11421,11421,11292,-1.33%
27.03.2022,11605,11357,11605,11357,2.77%
03.04.2022,11464,11596,11596,11355,-1.21%
10.04.2022,11398,11407,11407,11398,-0.58%
17.04.2022,11751,11462,11751,11462,3.10%
24.04.2022,11752,11689,11766,11647,0.01%
01.05.2022,11456,11581,11581,11456,-2.52%
08.05.2022,11072,11207,11347,11038,-3.35%
15.05.2022,11349,11317,11401,11245,2.50%
22.05.2022,11535,11407,11592,11403,1.64%
29.05.2022,11691,11637,11717,11637,1.35%
05.06.2022,11451,11601,11601,11451,-2.06%
12.06.2022,11093,11227,11246,10977,-3.12%
19.06.2022,11151,11148,11189,11100,0.52%
26.06.2022,11032,11183,11231,11032,-1.07%
03.07.2022,10729,10845,10845,10615,-2.75%
10.07.2022,10513,10683,10683,10513,-2.02%
17.07.2022,10837,10648,10837,10613,3.08%
24.07.2022,10977,10889,10977,10820,1.29%
31.07.2022,11217,11174,11217,11145,2.19%
07.08.2022,11152,11213,11233,11093,-0.58%
14.08.2022,11159,11128,11198,11115,0.07%
21.08.2022,11160,11072,11160,11072,0.01%
28.08.2022,11025,11056,11116,10952,-1.21%
04.09.2022,11193,10989,11193,10989,1.52%
11.09.2022,11077,11331,11339,11077,-1.03%
18.09.2022,10974,11115,11115,10974,-0.93%
25.09.2022,10627,10937,10937,10627,-3.16%
02.10.2022,10572,10427,10671,10427,-0.52%
09.10.2022,10403,10521,10521,10403,-1.61%
16.10.2022,10609,10445,10694,10445,1.98%
23.10.2022,10636,10604,10706,10604,0.26%
30.10.2022,10814,10669,10821,10669,1.67%
06.11.2022,10899,10825,10899,10752,0.78%
13.11.2022,10892,10828,10933,10828,-0.06%
20.11.2022,10882,10912,10916,10821,-0.10%
27.11.2022,11140,10913,11150,10913,2.37%
04.12.2022,11122,11117,11122,11052,-0.17%
11.12.2022,10993,11096,11159,10993,-1.16%
18.12.2022,10932,10997,10997,10894,-0.55%
25.12.2022,11169,10980,11182,10980,2.17%
01.01.2023,11306,11309,11309,11160,1.23%
08.01.2023,11377,11406,11407,11373,0.62%
15.01.2023,11349,11385,11401,11349,-0.24%
22.01.2023,11368,11405,11448,11335,0.17%
29.01.2023,11531,11436,11531,11357,1.43%
05.02.2023,11318,11493,11493,11318,-1.85%
12.02.2023,11077,11299,11299,11077,-2.12%
19.02.2023,11029,11166,11201,11029,-0.44%
26.02.2023,10853,10965,11006,10853,-1.60%
05.03.2023,10872,10913,10967,10872,0.18%
12.03.2023,10613,10622,10622,10315,-2.39%
19.03.2023,10780,10542,10797,10542,1.57%
26.03.2023,10823,10784,10888,10784,0.40%
02.04.2023,10588,10780,10780,10544,-2.16%
09.04.2023,10664,10662,10695,10662,0.71%
16.04.2023,10334,10728,10728,10334,-3.09%
23.04.2023,9941,10278,10278,9933,-3.80%
30.04.2023,9970,9896,9970,9896,0.29%
07.05.2023,10089,10215,10215,10089,1.19%
14.05.2023,9629,9864,9864,9629,-4.57%
21.05.2023,9757,9752,9833,9752,1.33%
28.05.2023,9769,9827,9851,9749,0.12%
04.06.2023,9901,9708,9901,9708,1.35%
11.06.2023,9762,9845,9933,9762,-1.41%
18.06.2023,9256,9708,9708,9256,-5.18%
25.06.2023,9372,9079,9372,9057,1.25%
02.07.2023,9214,9355,9468,9214,-1.69%
09.07.2023,9329,9222,9329,9084,1.25%
16.07.2023,9443,9429,9517,9405,1.23%
23.07.2023,9531,9377,9531,9341,0.93%
30.07.2023,9500,9659,9659,9477,-0.32%
06.08.2023,9592,9510,9592,9412,0.96%
13.08.2023,9661,9520,9665,9520,0.72%
